date,Q,CD,HD,lnQ,month_name,dlnQ,dCD,dHD
2001-02-01,1790,0.0,8.142857142857142,7.489970898834801,Feb,-0.1419456142364508,0.0,-2.7926267281105996
2001-03-01,1690,3.4838709677419355,2.903225806451613,7.432483807917119,Mar,-0.05748709091768145,3.4838709677419355,-5.239631336405529
2001-04-01,1404,8.233333333333333,1.5666666666666667,7.247080584585756,Apr,-0.18540322333136317,4.749462365591397,-1.3365591397849463
2001-05-01,1984,21.903225806451612,0.0,7.592870287844818,May,0.34578970325906155,13.66989247311828,-1.5666666666666667
2001-06-01,2572,27.0,0.0,7.85243908535751,Jun,0.25956879751269213,5.096774193548388,0.0
2001-07-01,3052,29.419354838709676,0.0,8.023552392404348,Jul,0.1711133070468378,2.419354838709676,0.0
2001-08-01,3116,29.64516129032258,0.0,8.044305406990638,Aug,0.02075301458629042,0.2258064516129039,0.0
2001-09-01,2837,27.166666666666668,0.0,7.950502434808851,Sep,-0.09380297218178679,-2.478494623655912,0.0
2001-10-01,2220,14.35483870967742,0.0,7.705262474866325,Oct,-0.24523995994252612,-12.811827956989248,0.0
2001-11-01,1584,5.7,2.3333333333333335,7.367708572374371,Nov,-0.33755390249195383,-8.65483870967742,2.3333333333333335
2001-12-01,1888,0.0,11.258064516129032,7.543273346705446,Dec,0.17556477433107442,-5.7,8.924731182795698
2002-01-01,2153,0.0,9.064516129032258,7.674617497364363,Jan,0.1313441506589168,0.0,-2.193548387096774
2002-02-01,1811,0.6071428571428571,4.321428571428571,7.501634457883413,Feb,-0.1729830394809495,0.6071428571428571,-4.743087557603687
2002-03-01,1642,2.7419354838709675,2.5483870967741935,7.403670290012373,Mar,-0.0979641678710399,2.1347926267281103,-1.7730414746543777
2002-04-01,1521,11.633333333333333,0.0,7.327123292259293,Apr,-0.0765469977530806,8.891397849462365,-2.5483870967741935
2002-05-01,1859,16.677419354838708,0.0,7.527793987721444,May,0.20067069546215155,5.044086021505375,0.0
2002-06-01,2562,28.366666666666667,0.0,7.848543482456679,Jun,0.3207494947352352,11.689247311827959,0.0
2002-07-01,3297,31.0,0.0,8.10076824307173,Jul,0.25222476061505095,2.633333333333333,0.0
2002-08-01,3287,30.06451612903226,0.0,8.097730573664219,Aug,-0.0030376694075116006,-0.9354838709677402,0.0
2002-09-01,2867,24.8,0.0,7.96102146588337,Sep,-0.13670910778084888,-5.264516129032259,0.0
2002-10-01,2097,10.193548387096774,0.06451612903225806,7.64826303090192,Oct,-0.3127584349814496,-14.606451612903227,0.06451612903225806
2002-11-01,1508,2.566666666666667,0.7,7.318539548567902,Nov,-0.3297234823340185,-7.626881720430108,0.635483870967742
